

Hiperparámetros por defecto  
        n_bins: int = 20,
        lr: float = 0.1,
        gamma: float = 0.99,
        epsilon_start: float = 1.0,
        epsilon_end: float = 0.01,
        epsilon_decay: float = 0.9995,

Resultados Entrenamiento

Episode 4600/20000 | Avg Reward: -176.33 | Epsilon: 0.1002 | States visited: 294
Episode 4700/20000 | Avg Reward: -171.72 | Epsilon: 0.0953 | States visited: 294
Episode 4800/20000 | Avg Reward: -173.46 | Epsilon: 0.0907 | States visited: 294
Episode 4900/20000 | Avg Reward: -189.39 | Epsilon: 0.0862 | States visited: 295
Episode 5000/20000 | Avg Reward: -173.38 | Epsilon: 0.0820 | States visited: 298
Episode 5100/20000 | Avg Reward: -171.56 | Epsilon: 0.0780 | States visited: 298
Episode 5200/20000 | Avg Reward: -176.29 | Epsilon: 0.0742 | States visited: 298
Episode 5300/20000 | Avg Reward: -191.02 | Epsilon: 0.0706 | States visited: 298
Episode 5400/20000 | Avg Reward: -178.46 | Epsilon: 0.0672 | States visited: 298
Episode 5500/20000 | Avg Reward: -186.65 | Epsilon: 0.0639 | States visited: 298
Episode 5600/20000 | Avg Reward: -178.50 | Epsilon: 0.0608 | States visited: 298
Episode 5700/20000 | Avg Reward: -173.46 | Epsilon: 0.0578 | States visited: 298
Episode 5800/20000 | Avg Reward: -171.60 | Epsilon: 0.0550 | States visited: 298
Episode 5900/20000 | Avg Reward: -173.02 | Epsilon: 0.0523 | States visited: 299
Episode 6000/20000 | Avg Reward: -170.64 | Epsilon: 0.0497 | States visited: 299
Episode 6100/20000 | Avg Reward: -180.11 | Epsilon: 0.0473 | States visited: 299
Episode 6200/20000 | Avg Reward: -175.21 | Epsilon: 0.0450 | States visited: 299
Episode 6300/20000 | Avg Reward: -158.89 | Epsilon: 0.0428 | States visited: 300
Episode 6400/20000 | Avg Reward: -162.28 | Epsilon: 0.0407 | States visited: 300
Episode 6500/20000 | Avg Reward: -175.39 | Epsilon: 0.0387 | States visited: 300
Episode 6600/20000 | Avg Reward: -166.90 | Epsilon: 0.0369 | States visited: 301
Episode 6700/20000 | Avg Reward: -166.96 | Epsilon: 0.0351 | States visited: 301
Episode 6800/20000 | Avg Reward: -158.97 | Epsilon: 0.0333 | States visited: 302
Episode 6900/20000 | Avg Reward: -154.99 | Epsilon: 0.0317 | States visited: 302
Episode 7000/20000 | Avg Reward: -143.31 | Epsilon: 0.0302 | States visited: 302
Episode 7100/20000 | Avg Reward: -140.11 | Epsilon: 0.0287 | States visited: 302
Episode 7200/20000 | Avg Reward: -157.48 | Epsilon: 0.0273 | States visited: 302
Episode 7300/20000 | Avg Reward: -165.72 | Epsilon: 0.0260 | States visited: 302
Episode 7400/20000 | Avg Reward: -164.98 | Epsilon: 0.0247 | States visited: 302
Episode 7500/20000 | Avg Reward: -167.77 | Epsilon: 0.0235 | States visited: 302
Episode 7600/20000 | Avg Reward: -151.51 | Epsilon: 0.0223 | States visited: 302
Episode 7700/20000 | Avg Reward: -148.31 | Epsilon: 0.0213 | States visited: 302
Episode 7800/20000 | Avg Reward: -165.82 | Epsilon: 0.0202 | States visited: 302
Episode 7900/20000 | Avg Reward: -169.95 | Epsilon: 0.0192 | States visited: 302
Episode 8000/20000 | Avg Reward: -171.68 | Epsilon: 0.0183 | States visited: 302
Episode 8100/20000 | Avg Reward: -164.74 | Epsilon: 0.0174 | States visited: 302
Episode 8200/20000 | Avg Reward: -152.73 | Epsilon: 0.0166 | States visited: 302
Episode 8300/20000 | Avg Reward: -148.27 | Epsilon: 0.0157 | States visited: 302
Episode 8400/20000 | Avg Reward: -156.81 | Epsilon: 0.0150 | States visited: 302
Episode 8500/20000 | Avg Reward: -160.88 | Epsilon: 0.0142 | States visited: 302
Episode 8600/20000 | Avg Reward: -169.20 | Epsilon: 0.0136 | States visited: 302
Episode 8700/20000 | Avg Reward: -169.12 | Epsilon: 0.0129 | States visited: 302
Episode 8800/20000 | Avg Reward: -165.33 | Epsilon: 0.0123 | States visited: 302
Episode 8900/20000 | Avg Reward: -145.08 | Epsilon: 0.0117 | States visited: 302
Episode 9000/20000 | Avg Reward: -147.74 | Epsilon: 0.0111 | States visited: 302
Episode 9100/20000 | Avg Reward: -166.26 | Epsilon: 0.0106 | States visited: 302
Episode 9200/20000 | Avg Reward: -166.83 | Epsilon: 0.0100 | States visited: 302
Episode 9300/20000 | Avg Reward: -156.04 | Epsilon: 0.0100 | States visited: 302
Episode 9400/20000 | Avg Reward: -164.36 | Epsilon: 0.0100 | States visited: 302
Episode 9500/20000 | Avg Reward: -144.03 | Epsilon: 0.0100 | States visited: 302
Episode 9600/20000 | Avg Reward: -132.30 | Epsilon: 0.0100 | States visited: 302
Episode 9700/20000 | Avg Reward: -136.53 | Epsilon: 0.0100 | States visited: 302
Episode 9800/20000 | Avg Reward: -134.52 | Epsilon: 0.0100 | States visited: 302
Episode 9900/20000 | Avg Reward: -132.16 | Epsilon: 0.0100 | States visited: 302
